Abstract,Abstract Description,Name/Institution/Workplace,Time Slot,Student Presenter
Aggregate Claim Analysis in a Two-sided Exit Setting with Dependence,"The two-sided exit problem has been the subject of risk management analysis, used to better understand the dynamic of various insurance risk processes. In the two-sided exit setting, the discounted aggregate claims are investigated under a dependent renewal process (also known as dependent Sparre Andersen risk process). Utilizing Lundberg's generalized equation and Laplace transform, we identify the fundamental solutions to a given integral equation, which will be shown to play a role similar to the scale matrix for spectrally-negative Markov-additive processes. Explicit expressions and recursions are then identified for the two-sided probabilities and the moments of the aggregate claims respectively. A numerical example for the two-sided exit probabilities involving the Farlie-Gumbel-Morgenstern (FGM) copula is provided.","Di (Cindy) Xu University of Nebraska-Lincoln, David Landriault University of Waterloo, Bin Li University of Waterloo",Tuesday 14:30-15:00,N
Improving Risk Assessment using Market Expectations and Information from Model Risks,"Market Risk is usually assessed by means of point estimates for risk measures which are exposed to randomness in data and/or misspecification of underlying model assumptions. In this paper, we extent the view of risk measurement on the distribution of estimators for risk measure forecasts to account for possible model risk. In addition, we analyze to which degree unexpected economic losses may be reduced when using information from the risk measure estimator distribution and combine it with future market expectations. The idea behind this approach is that more conservative risk measure forecasts than the point estimate of the estimator's distribution should be used when market expectations point to times of financial turmoil.",Ralf Kellner University of Regensburg,Tuesday 13:30-14:15,N
Stochastic Correlation and Regulatory Capital,"Current banking regulations require banks to use a so-called risk-weight function to determine the amount of capital that is held as a buffer against extraordinary losses. The function is based on a simple and intuitive model developed by Vasicek (2002), which makes several strong simplifying assumptions but retains its popularity due to its intuitive appeal (workarounds to some of the shortcomings caused by these assumptions have been proposed in the literature and adopted in practice). One of these assumptions is that correlations do not vary with the business cycle, which is in stark contrast to empirical evidence. In this talk we generalize the Vasicek model to allow for correlations that vary systematically with the state of the economy. The model includes a parameter that allows the user to control the degree to which correlations to rise during adverse economic scenarios, and we demonstrate that this parameter has a profound impact on regulatory capital calculations.",Adam Metzler Wilfrid Laurier University,Tuesday 14:15-15:00,N
Robust Small Area Estimation in Generalized Linear Models,"In this talk, I will present novel methods for small area estimation when the outcome variable is discrete. The methods developed in the framework of the generalized linear mixed models for clustered correlated data will be robust against slight deviations from the underlying distributions for both outcome and auxiliary variables. The empirical properties of the proposed estimators will be studied using Monte Carlo simulations. An application will also be provided using actual survey data.",Sanjoy Kumar Sinha Carleton University,Tuesday 13:30-14:00,N
Small Area Model Selection,"Complex statistical models that have multiple sources of dependencies and variability in the observations are of primary importance in studying data from multiple disciplines. These include spatial, temporal, spatio-temporal, various mixed effects and other statistical models. Of special importance among such models are those that are useful for studying problems where there is limited directly observed data, for example, as in small area models. In this talk we present a new resampling-based method that can be used for simultaneous variable selection and inference in several complex models, including small area and other mixed effects models. Theoretical results justifying the proposed resampling schemes will be presented, followed by simulations and real data examples. This talk is based on research involving several students and collaborators from multiple institutions.","Snigdhansu Chatterjee, Kaibo Gong University of Minnesota, Megan Heyman Rose-Hulman Inst of Technology, Taps Maiti Michigan State University",Tuesday 14:00-14:30,N
Robust Hierarchical Bayes Small Area Estimation for Nested Error Regression Model,"National statistical offices are mandated to produce reliable statistics for important characteristics for many sub-populations or small areas, defined by geography and/or demography. Model-based methods that ``borrow strength"" from other areas and variables are extensively used to generate reliable statistics. Standard model-based small area estimates perform poorly in presence of outliers. Sinha and Rao (2009) proposed a robust frequentist approach to handle outliers. We propose a robust hierarchical Bayes (HB) method to handle outliers in unit-level data. We consider a two-component scale mixture of normal distributions for the unit error to model outliers and produce noninformative HB predictors of small area means. An example and extensive simulations convincingly show robustness of HB predictors. Simulation evaluation of these two procedures shows their superiority over the M-quantile small area estimators. Our HB procedure enjoys dual (Bayes and frequentist) dominance.","Gauri Datta U.S. Bureau of the Census, Abhyuday Mandal University of Georgia, Adrijo Chakraborty NORC",Tuesday 14:30-15:00,N
"The Randomized Registry Trial — Opportunities, Challenges and Solutions ","Registry-based randomized controlled trials (RRCTs) are defined as pragmatic trials that use registries as a platform for case records, data collection, randomization and follow-up. Recently the application of RRCTs has attracted increasing attention in health research to address comparative effectiveness research questions in real-world settings, mainly due to their low cost, enhanced generalizability of findings, rapid consecutive enrollment, and the potential completeness of follow-up for the reference population, when compared with conventional randomized effectiveness trials. However, several challenges of RRCTs have to be taken into consideration, including registry data quality, ethical issues and methodological challenges. In this talk, I will summarize the advantages and challenges and areas for future research related to RRCTs. ",Lehana Thabane McMaster University,Tuesday 13:30-14:00,N
Registry-Based Randomized Controlled Trials: The Case for Explanatory-Pragmatic Continuum,"Randomized controlled trials (RCTs) have been broadly categorized as either having a pragmatic or explanatory attitude. Pragmatic trials are designed to evaluate the effectiveness of interventions in real-life routine practice conditions, whereas explanatory trials aim to test whether an intervention works under optimal situations. In this talk, I will discuss the development of a Pragmatic-Explanatory Continuum Indicator Summary (PRECIS) for classifying trials and its application to registry-based trials. ",Kevin E. Thorpe University of Toronto,Tuesday 14:00-14:30,N
Statistical Methods for Synthesizing Evidence from Explanatory and Pragmatic trials,"Randomized controlled trials (RCTs) of treatments and interventions are typically described as either explanatory or pragmatic. Meta-analysis of RCT studies typically pools evidence of treatment effects from included studies, regardless of their classification as ‘pragmatic’ or ‘explanatory’ trials. Given that treatment effects in explanatory trials may be greater than those obtained in pragmatic trials, conventional meta-analytic approaches may not accurately account for the heterogeneity among the studies. Stratified meta-analysis of systematically review studies in which treatment effects from explanatory trials are meta-analyzed and reported separately from pragmatic trials is generally used in systematic reviews. In this study we investigate a variety of meta-analytic approaches for synthesizing evidence from pragmatic and explanatory trials. Discussions about the key statistical and design considerations when pooling evidence from both types of trial designs are provided. ","Tolulope T. Sajobi University of Calgary, Oluwagbohunmi Awosoga University of Lethbridge, Bijoy Menon University of Calgary, Michael Hill University of Calgary, Lehana Thabane McMaster University",Tuesday 14:30-15:00,N
A Bayesian Approach to Diagnosis of the Gaussian Random Field Assumption,"The Latent Gaussian Model (LDM) is used in various fields such as ecology, the study of cancer, and the stock market. The model is usually used on high dimensional data, with the Integrated Laplace Approximation (INLA) an advanced approach to inference in the LDM. Compare to the traditional approach of Monte Carlo Markov Chain, INLA has much better performance in terms of running speed and error rate. However, one main assumption of using INLA is that the data come from a Gaussian Markov random fields (GMRF). In this paper, we present a method to diagnose the normality assumption of LDM in high dimensions. This method uses Ordinary Differential Equations (ODE) with a Bayesian approach. ","Haoxuan Zhou Simon Fraser University, Dave Campbell Simon Fraser University",Tuesday 13:30-13:45,N
A Bayesian Approach for Pattern Detection in Extremely Small Sample Sizes: Application to Proteomic Cell Line Data of Human Leukemia,"Human cancer cell line experiments are a valuable tool for investigating drug sensitivity biomarkers. The number of biomarkers measured in these experiments is typically on the order of several thousand; whereas the number of samples is often limited to one or at most three replicates for each experimental condition. We have developed an innovative Bayesian approach that efficiently identifies clusters of markers with similar patterns. We define prior distributions on cluster parameters that allow us to obtain biologically meaningful clusters and to better discriminate them. Motivated by the availability of ion mobility mass spectrometry data on cell line experiments in myelodysplastic syndromes and acute myeloid leukemia from the ``Moon Shots"" Program at MD Anderson Cancer Center, our methodology can identify protein markers that follow biologically meaningful trends. ","Thierry Chekouo Tekougang University of Minnesota Duluth, Francesco Stingo University of Florence, Kim-Anh Do The University of Texas MD Anderson Cancer Center",Tuesday 13:45-14:00,N
Bayesian Sensitivity Analysis for Non-ignorable Missing Data in Longitudinal Studies,"The use of Bayesian statistical methods to handle missing data in biomedical studies has become popular in recent years. In this paper, we propose a novel Bayesian sensitivity analysis (BSA) model that accounts for the influences of missing outcome data on the estimation of treatment effects in randomized trials with non-ignorable missing data. We implement the method using the probabilistic programming language STAN, and apply it to data from the Vancouver At Home (VAH) Study, which is a randomized control trial that provided housing to homeless people with mental illness. We compare the results of BSA to those from an existing Bayesian longitudinal model that ignores missingness in the outcome. Furthermore, we demonstrate in a simulation study that BSA credible intervals have greater length and higher coverage rate of the target parameters than existing methods.","Tian Li Simon Fraser University, Lawrence C. McCandless Simon Fraser University, X. Joan Hu Simon Fraser University, Julian M. Somers Simon Fraser University",Tuesday 14:00-14:15,N
Individual Level Modelling of Infectious Disease Data: EpiILM,"The statistical modelling of infectious disease spread through a population generally requires the use of non-standard statistical models. This is primarily due to the fact that infection events depend upon the infection status of other members of the population and hence we cannot assume independence of infection events. Further complication is added by the fact that there are often complex heterogeneities in the population which we wish to account for, since, for example, populations do not tend to mix homogeneously. Sometimes, we may wish to account for such heterogeneities using spatial mechanisms that assume that transmission events are more likely to occur between individuals close together in space than individuals further apart. Sometimes, it is more natural to model such heterogeneities using contact networks that represent, for example, the sharing of supplier companies between farms. Typically, statistical inference for these models (e.g., parameter estimation) is done in a Bayesian context using computational techniques such as Markov chain Monte Carlo (MCMC). Here we examine the main characteristics of individual level infectious disease models, and how to fit them to data within a Bayesian statistical framework using the R package ""EpiILM”. ","Vineetha K.V. Warriyar University of Calgary, Rob Deardon University of Calgary",Tuesday 14:15-14:30,N
 Bayesian Optimality for Beran's Class of Tests of Uniformity around the Circle,We show that the locally most powerful tests of uniformity on the circle given by Beran have optimality properties not just against the parametric alternatives described by Beran but also against many non-parametric alternatives. We describe both local and asymptotic versions of this optimality.,"Shaun Zheng Sun University of the Fraser Valley, Richard Lockhart Simon Fraser University",Tuesday 14:30-14:45,N
Development of Quality Assurance Program for Jaundice Meter Management,"Jaundice meters are intended for use as a screening device in newborns. Meters need to be validated before putting them into clinical use. Transcutaneous bilirubin readings are compared to the clinical laboratory standard, serum bilirubin obtained from blood samples. Meter reliability is evaluated by a regression model where errors are in both variables since an error is not only associated with the jaundice meter method but also the clinical standard. A Bayesian approach is discussed with independent and noninformative priors. Since reliability varies from meter to meter, a number of clustering techniques are examined to develop a statistical quality assurance program for the management of multiple meters using reliability index. A simulation study is carried out to see robustness of the developed program under various conditions, including unbalanced samples size over meters, over-ranged and outlying observations, error ratio, and other factors that cannot be controlled in practice.","Chel Hee Lee University of Calgary, Martha E. Lyon University of Saskatchewan, Krista Baerg University of Saskatchewan",Tuesday 14:45-15:00,N
A New Weighted Quantile Regression,"Quantile regression has wide applications in many fields. Studies of heavy tailed distributions have rapidly developed. For multivariate heavy tailed distributions, estimation of conditional quantiles at very high or low tails is of interest in numerous applications. This presentation proposes a new weighted quantile regression method on high quantile regression. The Monte Carlo simulations show good efficiency of the proposed weighted estimator relative to regular quantile regression estimator. The presentation also investigates a real-world example by using the proposed weighted method. Comparisons of the proposed method and existing methods are given.","Jenny Tieu Brock University, Ramona Rat Brock University, Mei Ling Huang Brock University",Tuesday 13:30-13:45,N
Generalized Bent-Cable Regression for Changepoint Data,"The choice of the model framework in a regression setting depends on the nature of the data. The focus of this study is on changepoint data, exhibiting three phases: incoming and outgoing, both of which are linear, joined by a curved transition. Bent-cable regression is an appealing statistical tool to characterize such trajectories, quantifying the nature of the transition between the two linear phases by modeling the transition as a quadratic phase with unknown width. We demonstrate that a quadratic function may not be appropriate to adequately describe many changepoint data. We then propose a generalization of the bent-cable model by relaxing the assumption of the quadratic bend. The properties of the generalized model are discussed and Bayesian approach for inference is proposed. This study suggests that the proposed generalization can produce a fit, which is either comparable or superior to that of the quadratic bent-cable model.",Shahedul A. Khan University of Saskatchewan,Tuesday 13:45-14:00,N
Combatting Overfitting in Finite Mixture Models,"The standard expectation-maximization approach to parameter estimation for Gaussian mixture models is modified by a within-cycle incorporation of the nonparametric bootstrap in order to prevent overfitting in model-based clustering applications. Benefits include more reasonable parameter estimates (including estimates of standard error), more ‘realistic’ clustering results, and increased avoidance of local maxima. In addition, we find better efficiency versus a traditional nonparametric bootstrap approach to the EM for mixture models. Proposals for issues that arise, such as lack of monotonicity and convergence, are discussed and the method is applied to real and simulated data.",Jeffrey L. Andrews University of British Columbia,Tuesday 14:00-14:15,N
Quantile Regression with Nominated Samples,"In this paper, we study quantile regression with nominated samples. Nominated samples have a wide range of applications in medical, ecological and environmental research, and have been shown to perform better than SRS in estimating several population parameters. We propose a new objective function which takes into account the ranking information to estimate the unknown model parameters based on the maxima or minima nomination sampling designs. We compare the mean squared error of the proposed quantile regression estimates using maxima (or minima) nomination sampling design and observe that it provides higher relative efficiency when compared with its counterparts under SRS design for analyzing the upper (or lower) tails of the distribution of the response variable. We also evaluate the performance of our proposed methods when ranking is done with error.","Olawale Fatai Ayilara University of Manitoba, Mohammad Jafari Jozani University of Manitoba",Tuesday 14:15-14:30,N
Estimation Strategies for Weighted Least Absolute Deviations Regression Models,"We consider the estimation problem of the weighted least absolute deviation (WLAD) regression parameter vector when there are some outliers in the response and the leverage points in the predictors. We propose the pretest and shrinkage WLAD estimators when some of the parameters may be subject to certain restrictions. We derive the asymptotic risk of the pretest and shrinkage WLAD estimators and show that the asymptotic risk of the shrinkage estimator is strictly less than the unrestricted WLAD estimator. On the other hand, the risk of the pretest WLAD estimator depends on the validity of restrictions. Furthermore, we study the WLAD absolute shrinkage and selection operator and compare its relative performance with the pretest and shrinkage WLAD estimators. A simulation study is conducted to evaluate the performance of the proposed estimators relative to the unrestricted WLAD estimator. A real life data example is used to illustrate the performance of the proposed estimators. ","Md. Shakhawat Hossain University of Winnipeg, Mina Norouzirad Shahrood University of Technology, Mohammad Arashi Shahrood University of Technology",Tuesday 14:30-14:45,N
Estimation and Identification of Varying-Coefficient Additive Models for Locally Stationary Process,"Nonparametric regression models allowing for locally stationary covariates have received increasing interest. To catch the dynamic nature of regression function, we adopt more flexible structural nonparametric model than classical varying-coefficient model (VC) and additive model (AM), named varying-coefficient additive model (VCAM). For this model, we propose a three-step spline estimation method for varying-coefficient and additive component functions and show their consistency and rate of convergence. Furthermore, we develop a two-stage penalty procedure to identify varying-coefficient and additive terms in the VCAM. We demonstrate that the proposed identification procedure is consistent, i.e., with probability approaching to one, we correctly select varying-coefficient and additive terms, respectively. Simulation studies explore the finite sample performance and validate the asymptotic theories. Two real data applications illustrating the methodologies are presented as well.",Jinhong You,Tuesday 14:45-15:00,N
Predicting the Unpredictable: Severe Wildfire Risk Prediction in Canada,"About 8000 wildfires occur in the protected area of Canada each year. Approximately 2\% of these fires exceed 150+ ha in size, but account for most of the suppression costs and are the greatest threat to our communities. Although statistical approaches to fire occurrence prediction (FOP) have evolved over the past 40 years, FOP has not been implemented at a national scale in Canada. We develop a big data (supervised machine learning) based statistical modeling approach to predict severe large wildfire occurrences in Canada using a set of spatially gridded meteorological, topographic and demographic covariates. Our modeling framework is focused on allowing for better preparedness and more effective decisions to share resources among provincial/territorial and federal agencies, and to enhance Canada’s resilience to large wildfires. The talk will focus on large wildfire prediction in British Columbia, Canada, to showcase our methodology.","Khurram Nadeem Natural Resources Canada, Charmaine B. Dean Western University, Douglas Woolford Western University, Steve Taylor Pacific Forestry Centre, Natural Resources Canada",Tuesday 13:30-13:45,N
Piecewise Linear Quantile Regression for Estimation of Ecological Breakpoints,"The relationships between ecological variables are usually estimated by fitting statistical models which go through the conditional means of the variables. For example, the piecewise linear regression model - which goes through the conditional mean of the response variable given the predictor(s) - is used to obtain relationships and breakpoints in variables to answer relevant ecological questions. In contrast, the piecewise linear quantile regression model - which goes through the quantiles of the conditional distribution of the response variable given the predictor(s) - provides much richer information in terms of estimating relationships, breakpoints and confidence bands. The methods are illustrated with two examples from the ecological literature – relating an index of wetlands’ fish community ‘health’ to the amount of human activity in wetlands’ adjacent watersheds; and relating the biomass of Cyanobacteria to the Total Phosphorus concentration in Canadian lakes.","Jabed H. Tomal University of Toronto Scarborough, Jan J.H. Ciborowski University of Windsor, Karen Fung University of Windsor",Tuesday 13:45-14:00,N
Geostatistical Inference under Preferential Sampling,"Preferential sampling in geostatistics occurs when the process that determines the sampling locations may depend on the spatial process that is being modeled. In this case inference cannot generally be performed conditionally on the locations. Here we revisit the seminal work of Diggle et al. (2010, JRSS-C, 59, 191-232) and show that, under certain conditions satisfied by most commonly used geostatistical models, previously proposed Monte Carlo estimates for the likelihood function may not behave as expected. We also show that alternative numerical methods to approximate the likelihood function yield noticeably better results than Monte Carlo-based methods. Although we illustrate these results with the relatively simple models in Diggle et al. (2010), the advantage of our approach is particularly important for more complex preferential sampling models.","Matias Salibian-Barrera University of British Columbia, Daniel Dinsdale University of British Columbia",Tuesday 14:00-14:15,N
Parameter Estimation for PDEs Defined over Irregular Domains,"Spatial temporal data are abundant in many scientific fields, some examples include; temperature readings from multiple weather stations and the spread of an infectious disease over a particular region taken over time. In many instances the spatial data are accompanied by mathematical models expressed in terms of partial differential equations (PDEs). A PDE determines the theoretical aspects of the behaviour of the physical, chemical or biological phenomena considered. The parameters of the PDE are typically unknown and must be inferred from expert knowledge of the phenomena considered. I will introduce a methodology for attaining data driven estimates of the PDE parameters by extending the profiling with parameter cascading procedure outlined in Ramsay et al. (2007). We also incorporate splines on triangulations Lai and Schumaker (2007) to account for attributes of the geometry of the problem such as irregular shaped domains and internal boundary features.","Michelle Carey McGill University, James O. Ramsay McGill University",Tuesday 14:15-14:30,N
Empirical Eigenvalue Based Testing for Structural Breaks in Linear Factor Models,"Testing for stability in linear factor models has become an important topic in both the statistics and econometrics research communities. We develop a general test for structural stability of linear factor models that is based on monitoring for changes in the largest eigenvalue of the sample covariance matrix. The asymptotic distribution of the proposed test statistic is established under the null hypothesis that the mean and covariance structure of the cross sectional units remain stable during the observation period. We show that the test is consistent assuming common breaks in the mean or factor loadings. These results are investigated by means of a Monte Carlo simulation study, and their usefulness is demonstrated with an application to U.S. treasury yield curve data, in which some interesting features of the 2007-2008 subprime crisis are illuminated.","Gregory Rice University of Waterloo, Lajos Horvath University of Utah",Tuesday 13:30-13:45,N
Modeling the Random Effects Covariance Matrix for Longitudinal Data with Covariate Measurement Error,"Longitudinal data occur frequently in practice such as medical studies and life sciences. Generalized linear mixed models (GLMMs) are commonly used to analyze such data. It is typically assumed that the random effects covariance matrix is constant across the subject (and among subjects) in these models. In many situations, however, this correlation structure may differ among subjects and ignoring this heterogeneity can cause the biased estimate of model parameters. Covariates measured with error also happen frequently in the longitudinal data set-up. Ignoring this issue in the data may also produce bias in model parameters estimate and lead to wrong conclusions. In this work, we propose an approach to properly model the random effects covariance matrix based on covariates in the class of GLMMs where covariates are subject to measurement error. The resulting parameters from the decomposition of random effects covariance matrix have a sensible interpretation and can easily be modeled without the concern of positive definiteness of the resulting estimator. Performance of the proposed approach is evaluated through simulation studies as well as a real longitudinal data application from Manitoba Follow-up study.","Md. Erfanul Hoque University of Manitoba, Mahmoud Torabi University of Manitoba",Tuesday 13:45-14:00,N
Empirical Likelihood Multiscale Inference of the Scaling Property of Time Series Models,"Over the years, financial time series have become available at increasingly higher frequencies. It is well-known that time series sampled at different frequencies carry information relevant to different components in the original time series, e.g. fast- and slow-moving components. We are interested in a research question of how to take advantage of samples at multiple frequencies in order to improve statistical inference in the presence of multiscale phenomenon. Multiscale phenomenon in financial time series have been reported by researches in a wide range of fields, ranging from physicists, applied mathematicians, to econometricians. In this talk, we introduce an empirical likelihood (EL) based test for model scaling property using multiple frequency samples. The method is used to test whether or not a given model can be consistently used across different time scales. For application, we apply it to models for capturing multiscale phenomenon in financial asset’s volatility.","Lichen Chen University of Waterloo, Adam Kolkiewicz University of Waterloo, Tony Wirjanto University of Waterloo",Tuesday 14:00-14:15,N
A Nonparametric Test for Detecting Periodicity in Time Series,"Traditional methods of detecting periodicity in time series depend on the assumption of identical independent Gaussian noises and are sensitive to outliers. We then propose an innovative nonparametric robust periodicity test which is highly resistant to outliers and is distribution free. It also works when the second moment of the error is not finite while traditional methods fail. We derive an asymptotic distribution for the test statistic and show that this method is efficient under the assumption of Gaussian noises. A response surface regression approach is also implemented to approximate the finite distribution of the test statistic. In addition, the implementation of this approach is dramatically sped up by utilizing the parallel computation through the Shared Hierarchical Academic Research Computer Network.","Yuanhao Lai Western University, A. Ian McLeod Western University",Tuesday 14:15-14:30,N
Joint Analysis of Longitudinal Zero-heavy Panel Count Outcomes with Application to Understanding Desistance from Criminal Activity,"Regression models for zero-inflated count data often need to accommodate within-subject correlation and between-individual heterogeneity; frequently random effects models are utilized for incorporating complex correlation structures. In cases where several longitudinal zero-heavy count outcomes are jointly considered, excess zeros may arise from several distinct sources. This is the case for a study of the patterns and mechanisms of the process of desistance from criminal activity. Methodological challenges in the analysis of longitudinal criminal behaviour data include the need to develop methods for multivariate longitudinal discrete data, incorporating modulating exposure variables and several possible sources of zero-inflation. There are additional complications such as some outcomes being prohibited during time in a secure facility; as well as intervention carry-over effects for some outcomes, and that the underlying process generating events may resolve for some individuals.",Charmaine B. Dean University of Western Ontario,Tuesday 15:30-16:00,N
Joint Modeling of Longitudinal Proportional Measurements and Survival Times with a Cure Fraction,"In cancer clinical trials and other medical studies, both longitudinal measurements and data on a time to an event (survival time) are often collected from the same patients. Joint analyses of these data would improve the efficiency of the statistical inferences. We propose a new joint model for the longitudinal proportional measurements which are restricted in a finite interval and survival times with a potential cure fraction. A penalized joint likelihood is derived based on the Laplace approximation and a semiparametric procedure based on this likelihood is developed to estimate the parameters in the joint model. A simulation study is performed to evaluate the statistical properties of the proposed procedures. The proposed model is applied to data from a clinical trial on early breast cancer. ","Dongsheng Tu, Hui Song Dalian University of Technology, Yingwei Peng Queen's University",Tuesday 16:00-16:30,N
Joint Analysis of a Longitudinal Binary Outcome and Recurrent Events with Application to Cystic Fibrosis Outcomes,"In cystic fibrosis, chronic Pseudomonas aeruginosa (Pa) infection is associated with worse clinical outcomes including more frequent pulmonary exacerbations (PE). PE are themselves a leading cause of morbidity in CF and important endpoints in CF clinical trials. This talk discusses joint models that address the challenge of understanding the co-dependence of progression of Pa infection and recurrent PE over time. Using data from the ongoing Early Pseudomonas Infection Control study, we propose a joint model built within the frameworks of hidden Markov chain models to model progression of Pa, and dynamic recurrent event models to model the recurrence of PE. We address additional challenges in the motivating study including missing and misalignment of covariates, the dynamic aspect of the recurrence of PE, and the latent aspect of the different Pa states of infection.","Elizabeth Juarez-Colunga University of Colorado Denver, Brandie Wagner University of Colorado Denver, Edith Zemanick University of Colorado Denver",Tuesday 16:30-17:00,N
"A Simple Tool for Bounding the Deviation of Random Matrices on Geometric Sets, with Applications","Let A be an isotropic, sub-gaussian m by n matrix. We give a simple sufficient condition for a random sub-Gaussian matrix to be well conditioned when restricted to a subset of $R^n$. We also prove a local version of this theorem, which allows for unbounded sets. These theorems have various applications, such as a general theory of compressed sensing. ","Yaniv Plan University of British Columbia, Chris Liaw University of British Columbia, Abbas Mehrabian University of British Columbia, Roman Vershynin University of Michigan",Tuesday 15:30-16:00,N
Approximation of Squared Integrable Random Variables with Nonlinear Stochastic Integrals,"Global quadratic hedging is the problem of finding a trading strategy which minimizes the expected squared error between the value of the portfolio and the value of a contingent claim. Under some conditions, the value of the portfolio is given by a stochastic integral and the value of the contingent claim by a random variable. In this context, the problem of global quadratic hedging can be seen as the projection of an $L^2$ random variable in the linear space of stochastic integrals respect to a semimartingale. More recently, to incorporate the effect of illiquidity, stock prices are given by semimartingales with space parameters. In this case, the value of the portfolio is given by a stochastic integral which is no more linear with respect to the integrand. During this talk, we will look at some conditions which allow to find an $L^2$ approximation of random variables with nonlinear stochastic integrals. ",Clarence Simard Université du Québec à Montréal,Tuesday 16:00-16:30,N
Probabilistic Symmetries and Random Locations,"In this talk we briefly discuss different types of symmetries in probability, including stationarity, stationarity of the increments, isotropy, self-similarity, exchangeability, and their combinations. Each of these symmetries is naturally related to an operator in the path space, in the sense that the symmetry can be expressed as the invariance of the distribution of the stochastic processes with respect to the corresponding operator. In particular, we consider the random locations of the stochastic processes, such as the hitting times or the location of the path supremum over a fixed interval. On one hand, we see how the probabilistic symmetries can imply the properties of the distributions of these random locations; on the other hand, we also discuss how the distributions of the random locations can be used to characterize the probabilistic symmetries.",Yi Shen University of Waterloo,Tuesday 16:30-17:00,N
Statistical Methodology on Human Microbiome Data Analysis,"The technological development in genomic sequencing has enabled researchers to unveil the wide variability of bacteria presented within different locations of the body. It is necessary to better understand both environmental and host genetic factors impact the composition of the microbiome to improve disease management. Several analytic approaches are introduced to summarize and assess the single or multiple OTUs using different computational algorithms. Motivated by the multivariate nature of microbiome data with hierarchical taxonomic clusters, counts that are often skewed and zero inflated, we propose a Bayesian latent variable methodology to jointly model multiple operational taxonomic units within a single taxonomic cluster. This novel method can incorporate both negative binomial and zero-inflated negative binomial responses, and can account for serial and familial correlations. This method can help discover both genetic and environmental factors that influence the microbiome. ",Wei Xu,Tuesday 15:30-16:00,N
Aspects of Genetic Meta-Analysis under Data Uncertainty,"Genotype imputation is a technique extensively used in genome-wide association studies (GWAS), as well as in their meta-analysis. In this talk, we outline strategies to account for imputation accuracy when including imputation-based GWAS results in a meta-analysis, considering both fixed-effect and random-effects models. While adding studies to the meta-analysis typically boosts the power to detect genetic associations, inclusion of imputation-based studies may adversely affect power due to increased genotype uncertainty. We address this trade-off via a reweighing scheme that controls the contribution of imputation-based studies in meta-analyses. The proposed method achieves a better detection power relative to traditional approaches, and improves the validity and reliability of imputation-based meta-analysis results.",Elif Fidan Acar University of Manitoba,Tuesday 16:00-16:30,N
Correcting False Discovery Rates for their Bias Toward False Positives,"Conventional methods of adjusting p values for multiple comparisons control a family-wise error rate (FWER) such as a genome-wise error rate. The recognition that they lead to excessive false negative rates in genomics applications has led to widespread use of false discovery rates (FDRs) in place of the conventional adjustments. While this is an improvement, the way FDRs are used in the analysis of genomics data leads to the opposite problem, excessive false positive rates. In this sense, the FDR overcorrects for the excessive conservatism (bias toward false negatives) of the FWER-controlling methods of adjusting p values. Estimators of the local FDR (LFDR) are much less biased but have not been widely adopted due to their high variance and lack of availability in software. To address both issues, we propose estimating the LFDR by correcting an estimated FDR or the level at which an FDR is controlled. Preprint: http://hdl.handle.net/10393/34277 ",David R. Bickel University of Ottawa,Tuesday 16:30-17:00,N
Geographic Topic Modelling to Predict Regional Beer Success,"This study explores online beer reviews to identify which types and flavours of beer are popular among consumers in different geographic regions. The exploration of beer reviews was carried out with Latent Dirichlet Allocation, a Natural Language Processing approach to cluster text from beer reviews into flavour and sentiment topics. Combining text and topic data from reviews with numerical ratings of beers in categories of flavour, scent, and colour we can determine flavour preferences. When matching breweries with their geographical locations, we explore beer flavour and type preference trends across the country. This analysis could be used as a recommendation system for predicting regional beer success from flavour and beer type combinations.",Pulindu Ratnasekera Simon Fraser University,Tuesday 15:30-16:00,N
How to Brew your Beer Tour with Data Science,"Motivated by the emerging craft brewery scene in Vancouver B.C., we set our goal to design a beer tour to visit some of the amazing hotspots in town. Using Hadley Wickham’s tidyverse package, we automate data extraction to pinpoint exact locations of breweries, and proceed to extract distances and travelling times between them from GoogleMaps API. A travelling salesman algorithm is then applied to optimize for the best tour path, which can be tailored for any individual’s preferences. To improve the usability of our tour planning, we extend our workflow into an interactive and customizable web application built with Shiny. Our app shows the location of all the craft breweries in Vancouver and their respective menus, with average rating scores of all menu options. Users can simply point and click to express their preferences and obtain a personalized path. A utility chart derived from user inputs that displays the marginal utility gained from each stop is also provided. ","Joanna Zhao Simon Fraser University, Derek Qiu Simon Fraser University",Tuesday 16:00-16:30,N
Gosset at Guinness: How ‘Student’ Derived (and Checked) the Distribution of his z-statistic,"William Gosset (“Student”) published “The Probable Error of a Mean” in 1908. Despite its seminal nature, modern-day statistics textbooks give him, and this article, short shrift. Few of today’s students – or their teachers – are aware of the “z” statistic whose sampling distribution he actually derived, the mathematical derivation, his simulations to check his work, the material used in the simulations, the table he produced, the “one-line” missing proof supplied by the 22-year old Fisher (still a student himself) or the subsequent switch, in collaboration with Fisher, from the z to the t-statistic. I remind readers of these. I hope the next generation of statisticians come to know more about the man than simply that “he worked for the Guinness brewery,” and appreciate that not all statistical distributions are derived in a single pass. Students would do well to use his paper as a model when writing their first statistical article. Extra material: www.epi.mcgill.ca/hanley/Student/",James A. Hanley McGill University,Tuesday 16:30-17:00,N
